,open,high,low,close,adj close,volume,prev_diff,close_50_sma,10_day_volatility,sm_open,sm_high,sm_low,sm_close,sm_adj_close,sm_volume,sm_prev_diff,sm_close_50_sma,sm_10_day_volatility
0,7.63527363724e-09,7.67355192594e-09,7.59771079547e-09,7.65602259978e-09,6.86311483332e-09,0.0309098114038,0.0,7.65602259978e-09,0.0,2.79607792158e-07,2.83942528071e-07,2.79607792158e-07,2.83722158147e-07,2.83722158147e-07,0.999522177622,0.0,2.83722158147e-07,0.0
1,1.22846708239e-08,1.23413426549e-08,1.22073903988e-08,1.22720764604e-08,1.10011004158e-08,0.060297549052,2.11800088831e-11,1.2261486456e-08,1.05900044415e-11,4.53869940624e-07,4.55460753797e-07,4.5266780602e-07,4.55416681538e-07,4.55416681538e-07,0.998180447403,1.41452373917e-09,4.54709419669e-07,7.07261869585e-10
2,6.15644738167e-09,6.18085750416e-09,6.05220331334e-09,6.0585210382e-09,5.43106088006e-09,0.0277491007823,-9.79263434749e-11,6.12026352452e-09,4.89631717375e-11,2.28302884434e-07,2.29002437576e-07,2.27949083399e-07,2.28590356996e-07,2.28590356996e-07,0.999614919559,1.24632742245e-10,2.28270730401e-07,6.23163711225e-11
3,5.73782818474e-09,5.7446026156e-09,5.66466584886e-09,5.70612445527e-09,5.11516058757e-09,0.0226255937783,-1.05678465945e-11,5.75774451831e-09,5.28392329727e-12,2.15528004834e-07,2.16702114518e-07,2.14589073458e-07,2.16556056916e-07,2.16556056916e-07,0.999744008487,8.63031194753e-10,2.15682588849e-07,4.31515597376e-10
4,6.84189152722e-09,6.89719968216e-09,6.80154983977e-09,6.89654903549e-09,6.18229704621e-09,0.025484465758,4.55477717343e-11,6.90969250807e-09,2.27738858672e-11,2.5973942895e-07,2.60848510508e-07,2.58760145595e-07,2.60755130072e-07,2.60755130072e-07,0.999675218261,7.49265980516e-10,2.59316740727e-07,3.74632990258e-10
5,6.93941994784e-09,6.97886124974e-09,6.86459198564e-09,6.94676071273e-09,6.22730869526e-09,0.0260259982689,-2.04874820739e-11,6.97489872655e-09,1.02437026916e-11,2.62819307519e-07,2.63856168339e-07,2.61857602131e-07,2.63581609207e-07,2.63581609207e-07,0.999661266337,1.53381639248e-10,2.62242845565e-07,7.66907812786e-11
6,7.03896654923e-09,7.06221230762e-09,6.92893795895e-09,6.99801041206e-09,6.27325086662e-09,0.0265787406365,-2.06996759308e-11,7.04012102167e-09,1.03497992229e-11,2.65962905591e-07,2.66926049322e-07,2.65019142585e-07,2.66466558498e-07,2.66466558498e-07,0.999646722871,1.54970250357e-10,2.6517433017e-07,7.74850864356e-11
7,7.14059453615e-09,7.14730575546e-09,6.99462856965e-09,7.05033060946e-09,6.32015267301e-09,0.0271430440477,-2.09163046794e-11,7.10586470436e-09,1.04581131917e-11,2.69172218295e-07,2.70060101664e-07,2.68246773519e-07,2.69411808495e-07,2.69411808495e-07,0.999631559706,1.56592063738e-10,2.68132257585e-07,7.82959927209e-11
8,6.33342773534e-09,6.35098776134e-09,6.24956338915e-09,6.28892228737e-09,5.63760039287e-09,0.0314962104512,-7.23596331064e-11,6.39778115345e-09,3.61798165532e-11,2.4240962605e-07,2.4240962605e-07,2.39857959951e-07,2.40801045693e-07,2.40801045693e-07,0.999503871292,-2.28038714773e-09,2.4180183712e-07,1.14019357386e-09
9,7.1159675645e-09,7.22071941766e-09,6.98690985758e-09,7.21113447967e-09,6.46430225088e-09,0.0362973902092,1.00301934452e-10,7.23163997825e-09,6.20675591794e-11,2.72532972876e-07,2.75190454982e-07,2.71543302089e-07,2.74538670093e-07,2.74538670093e-07,0.999341032613,2.2669143944e-09,2.73516875087e-07,1.18380364708e-09
10,7.66353046026e-09,7.67629606853e-09,7.62377398663e-09,7.63872791923e-09,6.84761101273e-09,0.0276313287478,-4.44982260059e-11,7.69904260921e-09,5.93320052453e-11,2.92511905565e-07,2.93719551153e-07,2.92031907818e-07,2.93221663836e-07,2.93221663836e-07,0.999618181943,7.09758270666e-10,2.91586711857e-07,1.13820578033e-09
11,6.32903981744e-09,6.34914358876e-09,6.17721270864e-09,6.17901294292e-09,5.53907407998e-09,0.0311941680424,-1.05018917182e-10,6.32076357413e-09,5.20312427654e-11,2.41064617165e-07,2.41075129349e-07,2.37634708572e-07,2.38609287064e-07,2.38609287064e-07,0.999513343523,-2.61075599857e-09,2.39769563243e-07,9.51608618411e-10
12,6.32041915673e-09,6.38707096608e-09,6.19816185942e-09,6.25812573306e-09,5.60999329537e-09,0.0330355840844,6.8455148699e-11,6.32600878768e-09,5.31599020909e-11,2.40865517263e-07,2.41631903294e-07,2.38274972374e-07,2.39767761262e-07,2.39767761262e-07,0.99945417613,7.46917866896e-10,2.40151170146e-07,8.98705130351e-10
13,6.3117471714e-09,6.42510748276e-09,6.21916218249e-09,6.33749028124e-09,5.68113819462e-09,0.0348832442791,6.8573191063e-11,6.33695813498e-09,5.31110806372e-11,2.40664908224e-07,2.42189774888e-07,2.38916633499e-07,2.40929416636e-07,2.40929416636e-07,0.999391394434,7.48205833578e-10,2.40591290577e-07,8.94409072215e-10
14,6.30302357275e-09,6.46325319988e-09,6.24021361719e-09,6.41710696466e-09,5.75250911587e-09,0.0367371613887,6.86914052385e-11,6.35249746038e-09,5.66647690541e-11,2.40462780026e-07,2.42748739797e-07,2.39559688364e-07,2.42094253471e-07,2.42094253471e-07,0.999324962649,7.49495674904e-10,2.41078595862e-07,9.16380122655e-10
