,open,high,low,close,adj close,volume,prev_diff,close_50_sma,10_day_volatility,sm_open,sm_high,sm_low,sm_close,sm_adj_close,sm_volume,sm_prev_diff,sm_close_50_sma,sm_10_day_volatility
2010-01-15,30.132856,30.228571,29.41,29.418571,26.371792,148516900.0,-0.5,30.0934524167,0.247723191981,1147.719971,1147.77002,1131.390015,1136.030029,1136.030029,4758730000.0,-12.429932,1141.55415842,4.53065335249
2010-01-16,30.03999925,30.35678525,29.45892875,29.743928,26.66345225,157013150.0,0.325357,30.0665659231,0.252660999111,1144.7974855,1148.44000275,1132.48501625,1139.58001675,1139.58001675,4750255000.0,3.549988,1141.40230137,4.2714099765
2010-01-17,29.9471425,30.4849995,29.5078575,30.069285,26.9551125,165509400.0,0.325357,30.0667601429,0.251994425154,1141.875,1149.1099855,1133.5800175,1143.1300045,1143.1300045,4741780000.0,3.549988,1141.52570873,4.24367377393
2010-01-18,29.85428575,30.61321375,29.55678625,30.394642,27.24677275,174005650.0,0.325357,30.0886189333,0.268392809859,1138.9525145,1149.77996825,1134.67501875,1146.67999225,1146.67999225,4733305000.0,3.549988,1141.86932763,4.34043657327
2010-01-19,29.761429,30.741428,29.605715,30.719999,27.538433,182501900.0,0.325357,30.1280801875,0.348254151125,1136.030029,1150.449951,1135.77002,1150.22998,1150.22998,4724830000.0,3.549988,1142.39186841,4.76691133179
2010-01-20,30.701429,30.792856,29.928572,30.247143,27.114555,153038200.0,-0.472856,30.1350838824,0.354477198925,1147.949951,1147.949951,1129.25,1138.040039,1138.040039,4810560000.0,-12.189941,1142.13587844,4.99406298682
2010-01-21,30.297142,30.472857,29.601429,29.724285,26.645842,152038600.0,-0.522858,30.1122617222,0.366198538532,1138.680054,1141.579956,1114.839966,1116.47998,1116.47998,6874290000.0,-21.560059,1140.71055075,9.22028220237
2010-01-22,29.540001,29.642857,28.165714,28.25,25.324244,220441900.0,-1.474285,30.0142479474,0.639967273467,1115.48999,1115.48999,1090.180054,1091.76001,1091.76001,6208650000.0,-24.71997,1138.1342065,17.2336538263
2010-01-23,29.3366673333,29.5095236667,28.31,28.5033333333,25.551343,235769566.667,0.253333,29.9387022167,0.749843847492,1107.79333467,1111.31665033,1090.920044,1093.43334967,1093.43334967,5632896666.67,1.67334,1135.89916366,20.9145104918
2010-01-24,29.1333336667,29.3761903333,28.454286,28.7566666667,25.778442,251097233.333,0.253333,29.8824148095,0.795448306568,1100.09667933,1107.14331067,1091.660034,1095.10668933,1095.10668933,5057143333.33,1.67334,1133.95666488,22.3765079416
2010-01-25,28.93,29.242857,28.598572,29.01,26.005541,266424900.0,0.253333,29.8427595909,0.813129984786,1092.400024,1102.969971,1092.400024,1096.780029,1096.780029,4481390000.0,1.67334,1132.2668178,23.5189716198
2010-01-26,29.421429,30.530001,28.940001,29.42,26.373072,466777500.0,0.41,29.8243787391,0.810886758643,1095.800049,1103.689941,1089.859985,1092.170044,1092.170044,4731910000.0,-4.609985,1130.5234798,24.0918408199
2010-01-27,29.549999,30.082857,28.504286,29.697144,26.621517,430642100.0,0.277144,29.8190772917,0.792679117495,1091.939941,1099.51001,1083.109985,1097.5,1097.5,5319120000.0,5.329956,1129.14750148,22.8843662872
2010-01-28,29.275715,29.357143,28.385714,28.469999,25.521461,293375600.0,-1.227145,29.76511416,0.778906366954,1096.930054,1100.219971,1078.459961,1084.530029,1084.530029,5452400000.0,-12.969971,1127.36280258,20.9283460308
2010-01-29,28.725714,28.885714,27.178572,27.437143,24.595573,311488100.0,-1.032856,29.6755768077,0.794406875522,1087.609985,1096.449951,1071.589966,1073.869995,1073.869995,5412850000.0,-10.660034,1125.3053869,16.7698852057
2010-01-30,28.310952,28.590476,27.2285716667,27.5642856667,24.7095473333,270148433.333,0.127143,29.5973808395,0.764009582849,1083.03666167,1094.09330233,1072.356649,1078.97664367,1078.97664367,4967770000.0,5.106649,1123.58950752,11.0373418873
2010-01-31,27.89619,28.295238,27.2785713333,27.6914283333,24.8235216667,228808766.667,0.127143,29.5293111071,0.729654518373,1078.46333833,1091.73665367,1073.123332,1084.08329233,1084.08329233,4522690000.0,5.106649,1122.17857127,7.61978298342
2010-02-01,27.481428,28.0,27.328571,27.818571,24.937496,187469100.0,0.127143,29.470320069,0.75431640481,1073.890015,1089.380005,1073.890015,1089.189941,1089.189941,4077610000.0,5.106649,1121.04103229,7.55942313612
2010-02-02,27.987143,28.045713,27.625713,27.98,25.082211,174585600.0,0.161429,29.4206427333,0.765953257588,1090.050049,1104.72998,1087.959961,1103.319946,1103.319946,4749540000.0,14.130005,1120.45032942,8.69311022176
2010-02-03,27.881428,28.6,27.774286,28.461428,25.513775,153832000.0,0.481428,29.3897003226,0.756673725205,1100.670044,1102.719971,1093.969971,1097.280029,1097.280029,4285450000.0,-6.039917,1119.70290037,8.85490992905
2010-02-04,28.104286,28.338572,27.367144,27.435715,24.594294,189413000.0,-1.025713,29.3286382812,0.767709159409,1097.25,1097.25,1062.780029,1063.109985,1063.109985,5859690000.0,-34.170044,1117.93437177,11.542714854
2010-02-05,27.518572,28.0,27.264286,27.922857,25.030981,212576700.0,0.487142,29.2860388485,0.651978997946,1064.119995,1067.130005,1044.5,1066.189941,1066.189941,6438900000.0,3.079956,1116.36635871,12.8068518803
2010-02-06,27.6642863333,28.089524,27.4142856667,27.8590473333,24.973781,181573700.0,-0.06381,29.2440685098,0.350486526346,1064.58333333,1068.48665367,1048.50333667,1063.03995733,1063.03995733,5655873333.33,-3.149984,1114.79793514,13.2854721561
2010-02-07,27.8100006667,28.179048,27.5642853333,27.7952376667,24.916581,150570700.0,-0.06381,29.2026733429,0.286432408893,1065.04667167,1069.84330233,1052.50667333,1059.88997367,1059.88997367,4872846666.67,-3.149984,1113.22913624,14.5117429743
2010-02-08,27.955715,28.268572,27.714285,27.731428,24.859381,119567700.0,-0.06381,29.1618054167,0.262074384329,1065.51001,1071.199951,1056.51001,1056.73999,1056.73999,4089820000.0,-3.149984,1111.65999329,15.8363376548
2010-02-09,28.059999,28.214285,27.821428,28.027143,25.124472,158221700.0,0.295715,29.1311388649,0.252461964944,1060.060059,1079.280029,1060.060059,1070.52002,1070.52002,5114260000.0,13.78003,1110.54810212,15.890223189
2010-02-10,27.984285,28.085714,27.751429,27.874287,24.987444,92590400.0,-0.152856,29.0980638158,0.245218552992,1069.680054,1073.670044,1059.339966,1068.130005,1068.130005,4251450000.0,-2.390015,1109.43183641,15.7320127301
2010-02-11,27.84,28.535715,27.722857,28.381428,25.442059,137586400.0,0.507141,29.0796885385,0.283795125263,1067.099976,1080.040039,1060.589966,1078.469971,1078.469971,4400870000.0,10.339966,1108.63794242,14.9905416977
2010-02-12,28.301428,28.805714,27.928572,28.625713,25.661045,163867200.0,0.244285,29.06833915,0.349778370478,1075.949951,1077.810059,1062.969971,1075.51001,1075.51001,4160680000.0,-2.959961,1107.80974411,11.1284050282
2010-02-13,28.438214,28.8789285,28.143572,28.73357025,25.75773225,156884000.0,0.107857,29.0601740549,0.391794864137,1076.7449645,1082.27505525,1067.0099795,1080.35000625,1080.35000625,4140702500.0,4.839996,1107.13999441,7.54242229111
2010-02-14,28.575,28.952143,28.358572,28.8414275,25.8544195,149900800.0,0.107857,29.0549658036,0.402289849103,1077.539978,1086.7400515,1071.049988,1085.1900025,1085.1900025,4120725000.0,4.839996,1106.61737555,8.84930492678
2010-02-15,28.711786,29.0253575,28.573572,28.94928475,25.95110675,142917600.0,0.107857,29.0525081047,0.451697480564,1078.3349915,1091.20504775,1075.0899965,1090.02999875,1090.02999875,4100747500.0,4.839996,1106.2316226,10.458187907
2010-02-16,28.848572,29.098572,28.788572,29.057142,26.047794,135934400.0,0.107857,29.0526134205,0.48156647642,1079.130005,1095.670044,1079.130005,1094.869995,1094.869995,4080770000.0,4.839996,1105.9734038,11.7689254292
2010-02-17,29.17,29.187143,28.694286,28.935715,25.938944,109099200.0,-0.121427,29.0500156778,0.45896041247,1096.140015,1101.030029,1094.719971,1099.51001,1099.51001,4259230000.0,4.640015,1105.82977282,12.343688161
2010-02-18,28.804285,29.127142,28.702858,28.99,25.987612,105706300.0,0.054285,29.0487109891,0.394701065593,1099.030029,1108.23999,1097.47998,1106.75,1106.75,3878620000.0,7.23999,1105.84977776,12.0619317494
2010-02-19,28.837143,29.028572,28.73,28.809999,25.826248,103867400.0,-0.180001,29.0436320106,0.338740181532,1105.48999,1112.420044,1100.800049,1109.170044,1109.170044,3944280000.0,2.420044,1105.92042172,12.9816012345
2010-02-20,28.86,28.9952386667,28.6385716667,28.7504753333,25.7728893333,101791900.0,-0.059524,29.0375245799,0.188845962907,1106.99332667,1112.376709,1102.326701,1108.783366,1108.783366,3901000000.0,-0.386678,1105.9800664,12.2155581999
2010-02-21,28.882857,28.9619053333,28.5471433333,28.6909516667,25.7195306667,99716400.0,-0.059524,29.0304516633,0.133831546669,1108.49666333,1112.333374,1103.853353,1108.396688,1108.396688,3857720000.0,-0.386678,1106.0293852,11.9864656604
2010-02-22,28.905714,28.928572,28.455715,28.631428,25.666172,97640900.0,-0.059524,29.02247119,0.132931145036,1110.0,1112.290039,1105.380005,1108.01001,1108.01001,3814440000.0,-0.386678,1106.0689977,10.3193432786
2010-02-23,28.571428,28.761429,27.95857,28.151428,25.235882,143773700.0,-0.48,28.97404261,0.245857072198,1107.48999,1108.579956,1092.180054,1094.599976,1094.599976,4521050000.0,-13.410034,1105.30119742,8.44451834358
2010-02-24,28.318571,28.777143,28.262857,28.665714,25.696901,115141600.0,0.514286,28.93484263,0.247170658099,1095.890015,1106.420044,1095.5,1105.23999,1105.23999,4168360000.0,10.640014,1104.67559682,6.78031504651
2010-02-25,28.197144,28.98,28.127142,28.857143,25.868509,166281500.0,0.191429,28.90921407,0.241719801343,1101.23999,1103.5,1086.02002,1102.939941,1102.939941,4521130000.0,-2.300049,1103.99159534,5.35558550231
2010-02-26,28.911428,29.309999,28.857143,29.231428,26.204027,126865200.0,0.374285,28.89218549,0.267822632554,1103.099976,1107.23999,1097.560059,1104.48999,1104.48999,3945190000.0,1.550049,1103.24759632,4.44724756491
2010-02-27,29.0719043333,29.51619,29.0214286667,29.4395236667,26.390572,130417933.333,0.208096,28.8753188033,0.333356971991,1103.85331233,1110.196655,1100.16003433,1108.22998033,1108.22998033,3912673333.33,3.73999,1102.51259633,4.17311520149
